Round,Round Name,Home Team,Away Team,UTC Time,Finished,Started,Cancelled,Awarded,Score,Match Status
1,1,Nice,Lille,2023-08-11T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
1,1,Marseille,Reims,2023-08-12T15:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
1,1,Paris Saint-Germain,Lorient,2023-08-12T19:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
1,1,Brest,Lens,2023-08-13T11:00:00Z,TRUE,TRUE,FALSE,FALSE,3_2,Full-Time
1,1,Clermont Foot,Monaco,2023-08-13T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_4,Full-Time
1,1,Montpellier,Le Havre,2023-08-13T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
1,1,Nantes,Toulouse,2023-08-13T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
1,1,Rennes,Metz,2023-08-13T15:05:00Z,TRUE,TRUE,FALSE,FALSE,5_1,Full-Time
1,1,Strasbourg,Lyon,2023-08-13T18:45:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
2,2,Metz,Marseille,2023-08-18T19:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
2,2,Lyon,Montpellier,2023-08-19T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_4,Full-Time
2,2,Toulouse,Paris Saint-Germain,2023-08-19T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
2,2,Lille,Nantes,2023-08-20T11:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
2,2,Le Havre,Brest,2023-08-20T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
2,2,Lorient,Nice,2023-08-20T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
2,2,Reims,Clermont Foot,2023-08-20T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
2,2,Monaco,Strasbourg,2023-08-20T17:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
2,2,Lens,Rennes,2023-08-20T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
3,3,Nantes,Monaco,2023-08-25T19:00:00Z,TRUE,TRUE,FALSE,FALSE,3_3,Full-Time
3,3,Marseille,Brest,2023-08-26T17:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
3,3,Paris Saint-Germain,Lens,2023-08-26T19:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
3,3,Rennes,Le Havre,2023-08-27T11:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
3,3,Clermont Foot,Metz,2023-08-27T13:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
3,3,Montpellier,Reims,2023-08-27T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time
3,3,Strasbourg,Toulouse,2023-08-27T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
3,3,Lorient,Lille,2023-08-27T15:05:00Z,TRUE,TRUE,FALSE,FALSE,4_1,Full-Time
3,3,Nice,Lyon,2023-08-27T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
4,4,Nantes,Marseille,2023-09-01T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
4,4,Brest,Rennes,2023-09-02T15:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
4,4,Monaco,Lens,2023-09-02T19:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
4,4,Toulouse,Clermont Foot,2023-09-03T11:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
4,4,Le Havre,Lorient,2023-09-03T13:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
4,4,Lille,Montpellier,2023-09-03T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
4,4,Metz,Reims,2023-09-03T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
4,4,Nice,Strasbourg,2023-09-03T15:05:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
4,4,Lyon,Paris Saint-Germain,2023-09-03T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_4,Full-Time
5,5,Paris Saint-Germain,Nice,2023-09-15T19:00:00Z,TRUE,TRUE,FALSE,FALSE,2_3,Full-Time
5,5,Rennes,Lille,2023-09-16T15:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
5,5,Lens,Metz,2023-09-16T19:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
5,5,Lorient,Monaco,2023-09-17T11:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
5,5,Clermont Foot,Nantes,2023-09-17T13:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
5,5,Reims,Brest,2023-09-17T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
5,5,Strasbourg,Montpellier,2023-09-17T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time
5,5,Marseille,Toulouse,2023-09-17T15:05:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
5,5,Lyon,Le Havre,2023-09-17T18:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
6,6,Monaco,Nice,2023-09-22T19:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
6,6,Nantes,Lorient,2023-09-23T15:00:00Z,TRUE,TRUE,FALSE,FALSE,5_3,Full-Time
6,6,Brest,Lyon,2023-09-23T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
6,6,Metz,Strasbourg,2023-09-24T11:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
6,6,Le Havre,Clermont Foot,2023-09-24T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
6,6,Lens,Toulouse,2023-09-24T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
6,6,Montpellier,Rennes,2023-09-24T15:05:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
6,6,Paris Saint-Germain,Marseille,2023-09-24T18:45:00Z,TRUE,TRUE,FALSE,FALSE,4_0,Full-Time
6,6,Lille,Reims,2023-09-26T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
7,7,Strasbourg,Lens,2023-09-29T19:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
7,7,Clermont Foot,Paris Saint-Germain,2023-09-30T15:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
7,7,Monaco,Marseille,2023-09-30T19:00:00Z,TRUE,TRUE,FALSE,FALSE,3_2,Full-Time
7,7,Reims,Lyon,2023-10-01T11:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
7,7,Le Havre,Lille,2023-10-01T13:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
7,7,Nice,Brest,2023-10-01T13:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
7,7,Toulouse,Metz,2023-10-01T13:05:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
7,7,Lorient,Montpellier,2023-10-01T15:05:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time
7,7,Rennes,Nantes,2023-10-01T18:45:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
8,8,Strasbourg,Nantes,2023-10-06T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
8,8,Metz,Nice,2023-10-07T15:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
8,8,Reims,Monaco,2023-10-07T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time
8,8,Marseille,Le Havre,2023-10-08T11:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
8,8,Brest,Toulouse,2023-10-08T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
8,8,Lyon,Lorient,2023-10-08T13:00:00Z,TRUE,TRUE,FALSE,FALSE,3_3,Full-Time
8,8,Montpellier,Clermont Foot,2023-10-08T13:00:00Z,TRUE,TRUE,TRUE,,4_2,Abandoned
8,8,Lens,Lille,2023-10-08T15:05:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
8,8,Rennes,Paris Saint-Germain,2023-10-08T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time
9,9,Le Havre,Lens,2023-10-20T19:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
9,9,Paris Saint-Germain,Strasbourg,2023-10-21T15:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
9,9,Nice,Marseille,2023-10-21T19:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
9,9,Lorient,Rennes,2023-10-22T11:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
9,9,Lille,Brest,2023-10-22T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
9,9,Nantes,Montpellier,2023-10-22T13:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
9,9,Toulouse,Reims,2023-10-22T13:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
9,9,Monaco,Metz,2023-10-22T15:05:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
9,9,Lyon,Clermont Foot,2023-10-22T18:45:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
10,10,Clermont Foot,Nice,2023-10-27T19:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
10,10,Reims,Lorient,2023-10-28T15:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
10,10,Lens,Nantes,2023-10-28T19:00:00Z,TRUE,TRUE,FALSE,FALSE,4_0,Full-Time
10,10,Brest,Paris Saint-Germain,2023-10-29T12:00:00Z,TRUE,TRUE,FALSE,FALSE,2_3,Full-Time
10,10,Lille,Monaco,2023-10-29T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
10,10,Metz,Le Havre,2023-10-29T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
10,10,Montpellier,Toulouse,2023-10-29T14:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
10,10,Rennes,Strasbourg,2023-10-29T16:05:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
11,11,Paris Saint-Germain,Montpellier,2023-11-03T20:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
11,11,Lorient,Lens,2023-11-04T16:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
11,11,Marseille,Lille,2023-11-04T20:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
11,11,Lyon,Metz,2023-11-05T12:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
11,11,Nantes,Reims,2023-11-05T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
11,11,Strasbourg,Clermont Foot,2023-11-05T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
11,11,Toulouse,Le Havre,2023-11-05T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
11,11,Monaco,Brest,2023-11-05T16:05:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
11,11,Nice,Rennes,2023-11-05T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
12,12,Montpellier,Nice,2023-11-10T20:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
12,12,Reims,Paris Saint-Germain,2023-11-11T16:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time
12,12,Le Havre,Monaco,2023-11-11T20:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
12,12,Clermont Foot,Lorient,2023-11-12T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
12,12,Lille,Toulouse,2023-11-12T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
12,12,Metz,Nantes,2023-11-12T14:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
12,12,Rennes,Lyon,2023-11-12T16:05:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
12,12,Lens,Marseille,2023-11-12T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
13,13,Paris Saint-Germain,Monaco,2023-11-24T20:00:00Z,TRUE,TRUE,FALSE,FALSE,5_2,Full-Time
13,13,Clermont Foot,Lens,2023-11-25T16:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time
13,13,Strasbourg,Marseille,2023-11-25T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
13,13,Nice,Toulouse,2023-11-26T12:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
13,13,Lorient,Metz,2023-11-26T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_3,Full-Time
13,13,Montpellier,Brest,2023-11-26T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time
13,13,Nantes,Le Havre,2023-11-26T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
13,13,Rennes,Reims,2023-11-26T16:05:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
13,13,Lyon,Lille,2023-11-26T19:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
8,8,Montpellier,Clermont Foot,2023-11-29T18:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
14,14,Reims,Strasbourg,2023-12-01T20:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
14,14,Lens,Lyon,2023-12-02T16:00:00Z,TRUE,TRUE,FALSE,FALSE,3_2,Full-Time
14,14,Nantes,Nice,2023-12-02T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
14,14,Le Havre,Paris Saint-Germain,2023-12-03T12:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
14,14,Brest,Clermont Foot,2023-12-03T14:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
14,14,Monaco,Montpellier,2023-12-03T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
14,14,Toulouse,Lorient,2023-12-03T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
14,14,Lille,Metz,2023-12-03T16:05:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
14,14,Marseille,Rennes,2023-12-03T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
10,10,Marseille,Lyon,2023-12-06T20:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
12,12,Brest,Strasbourg,2023-12-07T19:30:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
15,15,Montpellier,Lens,2023-12-08T20:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
15,15,Rennes,Monaco,2023-12-09T16:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
15,15,Paris Saint-Germain,Nantes,2023-12-09T20:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
15,15,Nice,Reims,2023-12-10T12:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
15,15,Clermont Foot,Lille,2023-12-10T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
15,15,Metz,Brest,2023-12-10T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
15,15,Strasbourg,Le Havre,2023-12-10T14:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
15,15,Lyon,Toulouse,2023-12-10T16:05:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time
15,15,Lorient,Marseille,2023-12-10T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_4,Full-Time
16,16,Monaco,Lyon,2023-12-15T20:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
16,16,Le Havre,Nice,2023-12-16T16:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
16,16,Lens,Reims,2023-12-16T20:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
16,16,Nantes,Brest,2023-12-17T12:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 2,Full-Time
16,16,Lorient,Strasbourg,2023-12-17T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time
16,16,Metz,Montpellier,2023-12-17T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 1,Full-Time
16,16,Toulouse,Rennes,2023-12-17T14:00:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time
16,16,Marseille,Clermont Foot,2023-12-17T16:05:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
16,16,Lille,Paris Saint-Germain,2023-12-17T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
17,17,Brest,Lorient,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,4_0,Full-Time
17,17,Clermont Foot,Rennes,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_3,Full-Time
17,17,Lyon,Nantes,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
17,17,Montpellier,Marseille,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time
17,17,Nice,Lens,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time
17,17,Paris Saint-Germain,Metz,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time
17,17,Reims,Le Havre,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time
17,17,Strasbourg,Lille,2023-12-20T20:00:00Z,TRUE,TRUE,FALSE,FALSE,2_1,Full-Time
